year,begin_lat_mean,begin_lat_std,begin_lon_mean,begin_lon_std
1955,37.50196078431373,3.4339540006283396,-95.85117647058823,4.69057422798481
1956,38.79182926829268,2.937069644041082,-93.06256097560976,4.979085842759633
1957,36.37207547169811,3.5968472218189804,-92.83641509433963,5.303004752685791
1958,37.621111111111105,4.489353303290019,-92.8018518518519,3.5987707933294444
1959,37.06355555555555,3.3727208840365313,-92.95955555555554,3.506755140605287
1960,36.53999999999999,2.416576230530727,-95.86983333333333,2.7940399592320277
1961,37.0998947368421,3.344862206472959,-91.1158947368421,4.740944670820418
1962,39.553023255813955,3.728935463362497,-96.50418604651163,4.492706911554993
1963,37.81355555555555,3.1502915850294033,-89.99088888888888,4.21246571187676
1964,38.0555223880597,3.695396925243246,-92.7631343283582,4.788134073511822
1965,40.03068965517242,3.3976617072081132,-90.30855172413794,5.248023964009684
1966,38.2746875,4.508043695851858,-93.605625,3.1918635849862533
1967,39.42059701492537,3.5317687561990354,-90.77776119402986,3.5661569251555543
1968,38.61333333333334,3.7509166200005137,-90.58753623188406,5.311862530832482
1969,39.084915254237295,5.447570914821089,-89.65033898305084,5.45338173034883
1970,35.97904761904762,2.4487407654558964,-94.33634920634921,5.791929396509646
1971,36.7994495412844,4.381345733325588,-91.14376146788993,4.365711258710022
1972,36.2982,3.3003195207093983,-91.44619999999999,6.1697728896778745
1973,36.051504424778756,3.095681098966446,-91.06477876106194,5.984702089695194
1974,37.42481247085202,2.981647189604619,-87.19975482959642,3.5757693936050217
1975,38.114583333333336,4.001303488855735,-94.35874999999999,4.394233467393084
1976,36.27388235294117,3.8142902023704437,-91.4430588235294,4.117819876125336
1977,37.837931034482764,4.304163532494852,-92.62017241379311,4.379344055417075
1978,36.25138888888888,4.035804152672694,-91.53861111111112,4.633859331225681
1979,36.37021739130435,3.7092889340324073,-95.61717391304346,3.2174715145374493
1980,39.724871794871795,3.0408628205917507,-91.22871794871793,6.244266498361844
1981,36.699090909090906,3.7676761435568307,-93.86272727272728,3.8857449999382947
1982,34.76114285714285,1.841802166298058,-94.31161904761905,3.6472671865936737
1983,36.129464285714285,4.250166807268909,-88.45392857142858,6.0292995759560135
1984,37.9998,4.144326529586971,-89.93249999999998,5.872335480019768
1985,39.979142857142854,3.0694779534690086,-84.72728571428571,7.199248133333105
1986,37.34081081081081,4.34710911499328,-90.25,5.466725609438331
1987,36.962173913043486,6.060675747293695,-93.35695652173914,4.196153471045735
1988,35.96857142857142,2.7925817096446823,-88.66685714285715,5.597605985875504
1989,38.07515151515152,3.595030529435843,-88.55363636363634,7.170465386823672
1990,38.53431192660551,2.5303415693057016,-92.70788990825687,5.346311825540644
1991,38.15676923076922,3.278517723230799,-95.86630769230769,4.494761732155127
1992,37.381829268292684,4.514348626994416,-89.62378048780488,5.749055239667677
1993,36.94444444444444,2.6543507262187074,-94.16666666666666,7.337860723671442
1994,35.71727272727273,3.7313967650441335,-88.02,4.83847703311693
1995,37.924,3.445612618358232,-93.10300000000001,4.417997998617639
1996,38.03313607407408,3.6457960400603553,-90.40797255555555,4.015319286804688
1997,35.51531249999999,2.8383491162373167,-90.3575,3.8362490080302263
1998,38.41,3.8226718938673327,-86.62979999999999,5.957573978918407
1999,35.71821917808219,2.7177223626012004,-93.5723287671233,2.9705852026101716
2000,34.22820576923077,3.0282110389497925,-90.28333346153843,4.898256666294197
2001,36.56212121212122,4.182107403221458,-91.82020121212122,4.614377176575241
2002,37.193859473684206,3.019939724319683,-89.26622868421052,4.993989516958101
2003,36.99481488888889,2.039826592838918,-92.45111111111109,3.443031476400241
2004,40.180208125,3.89691912044377,-92.89999875000001,4.128509059860862
2005,36.38030363636364,3.3641620154781715,-90.05227227272728,3.4375196674248536
2006,37.15447421052631,2.8206191617124827,-91.19763157894738,2.581088571699855
2007,36.88608529411765,3.613780603772374,-93.51648823529412,6.706973479928444
2008,36.82926527777777,3.1361551318053795,-90.66707222222222,4.962525574212236
2009,35.33863043478261,2.3762990013951573,-87.47366086956522,4.177177900725356
2010,38.509701785714284,5.056551241472108,-92.26173928571428,4.735907928645825
2011,34.7919344,2.3573379395296308,-88.6843536,4.617002305496361
2012,36.926895,2.52944397781359,-88.7231275,5.8765976541894
2013,37.623584375,3.2266627876541194,-92.77145000000002,4.498121826904807
2014,37.412965625,3.9882729879234198,-91.740296875,5.027112309588452
2015,35.38397142857143,2.455594676539623,-94.62925357142856,4.5879559657128475
